name,time,lat,lng,wind
ALLEN,1980-07-31 12:00,11,-30,25
ALLEN,1980-07-31 18:00,10.9,-32.2,25
ALLEN,1980-08-01 00:00,10.8,-34.3,30
ALLEN,1980-08-01 06:00,10.7,-36.4,30
ALLEN,1980-08-01 12:00,10.7,-38.6,30
ALLEN,1980-08-01 18:00,10.7,-40.7,30
ALLEN,1980-08-02 00:00,11,-42.8,35
ALLEN,1980-08-02 06:00,11.4,-44.8,45
ALLEN,1980-08-02 12:00,11.9,-46.9,55
ALLEN,1980-08-02 18:00,12.3,-49.1,60
ALLEN,1980-08-03 00:00,12.4,-51.4,65
ALLEN,1980-08-03 06:00,12.6,-53.6,70
ALLEN,1980-08-03 12:00,12.8,-55.6,80
ALLEN,1980-08-03 18:00,12.9,-57.5,95
ALLEN,1980-08-04 00:00,13.3,-59.1,110
ALLEN,1980-08-04 06:00,13.6,-61,115
ALLEN,1980-08-04 12:00,14,-63,125
ALLEN,1980-08-04 18:00,14.4,-64.9,130
ALLEN,1980-08-05 00:00,14.8,-66.7,140
ALLEN,1980-08-05 06:00,15.4,-68.6,145
ALLEN,1980-08-05 12:00,15.9,-70.5,155
ALLEN,1980-08-05 18:00,16.5,-72.3,150
ALLEN,1980-08-06 00:00,17.8,-73.8,140
ALLEN,1980-08-06 06:00,18.3,-75.9,115
ALLEN,1980-08-06 12:00,19.2,-78,115
ALLEN,1980-08-06 18:00,20,-80.1,125
ALLEN,1980-08-07 00:00,20.1,-81.9,135
ALLEN,1980-08-07 06:00,20.4,-83.6,145
ALLEN,1980-08-07 12:00,21,-84.8,155
ALLEN,1980-08-07 18:00,21.8,-86.4,165
ALLEN,1980-08-08 00:00,22.2,-87.9,155
ALLEN,1980-08-08 06:00,22.8,-89.2,130
ALLEN,1980-08-08 12:00,23.4,-90.5,115
ALLEN,1980-08-08 18:00,23.9,-91.8,130
ALLEN,1980-08-09 00:00,24.5,-93,145
ALLEN,1980-08-09 06:00,25,-94.2,155
ALLEN,1980-08-09 12:00,25.2,-95.4,140
ALLEN,1980-08-09 18:00,25.4,-96.1,125
ALLEN,1980-08-10 00:00,25.8,-96.8,110
ALLEN,1980-08-10 06:00,26.1,-97.2,100
ALLEN,1980-08-10 12:00,26.7,-98.1,85
ALLEN,1980-08-10 18:00,27.3,-99,70
ALLEN,1980-08-11 00:00,27.7,-99.8,60
ALLEN,1980-08-11 06:00,28,-100.9,45
ALLEN,1980-08-11 12:00,28.5,-101.9,30
