name,time,nature,lat,lng,wind,pres,wind_pct,pres_pct
BOHALE,2015-12-07 18:00:00,TS,-8.6,78.6,20,1007,1.324,3.564
BOHALE,2015-12-08 00:00:00,TS,-9.4,76.9,20,1007,1.324,3.564
BOHALE,2015-12-08 06:00:00,TS,-10.5,75.6,25,1006,15.982,5.366
BOHALE,2015-12-08 12:00:00,TS,-10.7,74,25,1005,15.982,7.802
BOHALE,2015-12-08 18:00:00,TS,-11,73.1,25,1004,15.982,11.136
BOHALE,2015-12-09 00:00:00,TS,-11.5,72.7,25,1003,15.982,14.525
BOHALE,2015-12-09 06:00:00,TS,-12.1,72.5,27,1002,27.01,17.851
BOHALE,2015-12-09 12:00:00,TS,-12.9,72.3,27,1001,27.01,22.541
BOHALE,2015-12-09 18:00:00,TS,-13.6,72,27,1001,27.01,22.541
BOHALE,2015-12-10 00:00:00,TS,-14,71.4,28,1000,29.048,24.256
BOHALE,2015-12-10 06:00:00,TS,-14.3,70.5,30,999,34.099,33.63
BOHALE,2015-12-10 12:00:00,TS,-14.9,70.1,30,998,34.099,35.955
BOHALE,2015-12-10 18:00:00,TS,-15.4,69.8,30,998,34.099,35.955
BOHALE,2015-12-11 00:00:00,TS,-15.9,69.5,30,998,34.099,35.955
BOHALE,2015-12-11 06:00:00,TS,-16.3,69.2,30,998,34.099,35.955
BOHALE,2015-12-11 12:00:00,TS,-16.7,68.7,30,998,34.099,35.955
BOHALE,2015-12-11 18:00:00,TS,-17.3,68.3,30,997,34.099,39.463
BOHALE,2015-12-12 00:00:00,TS,-18.1,68.2,35,995,43.016,47.424
BOHALE,2015-12-12 06:00:00,TS,-18.9,68,35,995,43.016,47.424
BOHALE,2015-12-12 12:00:00,TS,-19.7,67.7,35,996,43.016,46.004
BOHALE,2015-12-12 18:00:00,ET,-20.5,67.5,35,996,43.016,46.004
BOHALE,2015-12-13 00:00:00,ET,-21.2,67.2,35,997,43.016,39.463
BOHALE,2015-12-13 06:00:00,ET,-22.3,66.7,35,998,43.016,35.955
BOHALE,2015-12-13 12:00:00,ET,-23.5,66.2,35,999,43.016,33.63
BOHALE,2015-12-13 18:00:00,ET,-24.4,65.8,33,1000,41.887,24.256
BOHALE,2015-12-14 00:00:00,ET,-24.8,65.7,33,1000,41.887,24.256
BOHALE,2015-12-14 06:00:00,TS,-25.7,65.8,32,1002,41.416,17.851
BOHALE,2015-12-14 12:00:00,TS,-26.5,65.7,30,1003,34.099,14.525
BOHALE,2015-12-14 18:00:00,TS,-27,65.5,27,1004,27.01,11.136
BOHALE,2015-12-15 00:00:00,TS,-27.1,65.4,27,1005,27.01,7.802
BOHALE,2015-12-15 06:00:00,TS,-27.3,65.3,25,1007,15.982,3.564
BOHALE,2015-12-15 12:00:00,TS,-27.7,65.3,25,1008,15.982,2.095
BOHALE,2015-12-15 18:00:00,TS,-28.2,65.4,20,1010,1.324,0.603
BOHALE,2015-12-16 00:00:00,TS,-28.7,65.7,20,1011,1.324,0.421
BOHALE,2015-12-16 06:00:00,TS,-29.5,66.6,20,1011,1.324,0.421
BOHALE,2015-12-16 12:00:00,TS,-30.4,68,20,1012,1.324,0.19
NONAME,2015-12-21 03:00:00,NR,-15.6,136,15,1005,0.169,2.686
NONAME,2015-12-21 06:00:00,NR,-15.6,135.7,15,1003,0.169,7.732
NONAME,2015-12-21 09:00:00,NR,-15.6,136,15,1003,0.169,7.732
NONAME,2015-12-21 12:00:00,NR,-15.8,136.2,15,1003,0.169,7.732
NONAME,2015-12-21 15:00:00,NR,-16.4,136.2,15,1007,0.169,0.828
NONAME,2015-12-21 18:00:00,NR,-16.3,135.6,15,1005,0.169,2.686
NONAME,2015-12-21 21:00:00,NR,-16,134.8,15,1005,0.169,2.686
NONAME,2015-12-22 00:00:00,NR,-16,133.8,10,1007,0,0.828
NONAME,2015-12-22 03:00:00,NR,-16,132.9,10,1005,0,2.686
NONAME,2015-12-22 06:00:00,NR,-16,132.7,10,1002,0,10.454
NONAME,2015-12-22 09:00:00,NR,-15.5,132.2,10,1002,0,10.454
NONAME,2015-12-22 12:00:00,NR,-15.5,132.3,10,1003,0,7.732
NONAME,2015-12-22 15:00:00,NR,-15.5,132.3,10,1003,0,7.732
NONAME,2015-12-22 18:00:00,NR,-15.5,132.4,10,1001,0,14.336
NONAME,2015-12-22 21:00:00,NR,-14.8,132.2,10,1002,0,10.454
NONAME,2015-12-23 00:00:00,NR,-14.3,131.8,10,1003,0,7.732
NONAME,2015-12-23 03:00:00,NR,-14,131.7,10,1001,0,14.336
NONAME,2015-12-23 06:00:00,NR,-13.6,131.5,10,998,0,25.937
NONAME,2015-12-23 09:00:00,NR,-13.5,131.4,10,999,0,23.042
NONAME,2015-12-23 12:00:00,NR,-13.3,131.2,10,1001,0,14.336
NONAME,2015-12-23 15:00:00,NR,-13.1,131.1,10,997,0,31.234
NONAME,2015-12-23 18:00:00,NR,-12.5,131.2,10,996,0,34.22
NONAME,2015-12-23 21:00:00,NR,-12.5,131.4,30,997,25.808,31.234
NONAME,2015-12-24 00:00:00,NR,-12.6,131.7,30,999,25.808,23.042
NONAME,2015-12-24 03:00:00,NR,-13,132.1,25,998,8.811,25.937
NONAME,2015-12-24 06:00:00,NR,-13.4,132.3,25,995,8.811,37.697
NONAME,2015-12-24 09:00:00,NR,-13.8,132.3,25,996,8.811,34.22
NONAME,2015-12-24 12:00:00,NR,-14,132,25,997,8.811,31.234
NONAME,2015-12-24 15:00:00,NR,-14.1,131.2,25,997,8.811,31.234
NONAME,2015-12-24 18:00:00,NR,-14,131.1,25,994,8.811,43.442
NONAME,2015-12-24 21:00:00,NR,-14.2,131,25,994,8.811,43.442
NONAME,2015-12-25 00:00:00,NR,-14.3,131,25,995,8.811,37.697
NONAME,2015-12-25 03:00:00,NR,-13.9,131.2,25,996,8.811,34.22
NONAME,2015-12-25 06:00:00,NR,-13.9,131.5,25,996,8.811,34.22
NONAME,2015-12-25 09:00:00,NR,-14.1,131.9,25,996,8.811,34.22
NONAME,2015-12-25 12:00:00,NR,-14.1,132.3,25,997,8.811,31.234
NONAME,2015-12-25 15:00:00,NR,-14.4,132.3,25,999,8.811,23.042
NONAME,2015-12-25 18:00:00,NR,-14.6,132.5,25,996,8.811,34.22
NONAME,2015-12-25 21:00:00,NR,-14.7,132.6,25,997,8.811,31.234
NONAME,2015-12-26 00:00:00,NR,-14.7,132.7,25,996,8.811,34.22
NONAME,2015-12-26 03:00:00,NR,-14.8,133.1,25,997,8.811,31.234
NONAME,2015-12-26 06:00:00,NR,-15.1,133.3,25,996,8.811,34.22
NONAME,2015-12-26 09:00:00,NR,-15.2,133.3,25,996,8.811,34.22
NONAME,2015-12-26 12:00:00,NR,-15.3,133.5,25,996,8.811,34.22
NONAME,2015-12-26 15:00:00,NR,-15.4,133.8,25,997,8.811,31.234
NONAME,2015-12-26 18:00:00,NR,-15.4,134,25,996,8.811,34.22
NONAME,2015-12-26 21:00:00,NR,-15.5,134.2,15,998,0.169,25.937
NONAME,2015-12-27 00:00:00,NR,-15.4,134.6,15,999,0.169,23.042
NONAME,2015-12-27 03:00:00,NR,-15.4,135,15,998,0.169,25.937
NONAME,2015-12-27 06:00:00,NR,-15.7,135.6,15,996,0.169,34.22
NONAME,2015-12-27 09:00:00,NR,-15.9,135.4,15,997,0.169,31.234
NONAME,2015-12-27 12:00:00,NR,-16,135.8,15,998,0.169,25.937
NONAME,2015-12-27 15:00:00,NR,-15.9,136,15,998,0.169,25.937
NONAME,2015-12-27 18:00:00,NR,-16,136.1,15,997,0.169,31.234
NONAME,2015-12-27 21:00:00,NR,-16.1,136.1,15,997,0.169,31.234
NONAME,2015-12-28 00:00:00,NR,-16.2,136.1,15,998,0.169,25.937
NONAME,2015-12-28 03:00:00,NR,-16.3,136,15,998,0.169,25.937
NONAME,2015-12-28 06:00:00,NR,-16.4,136,15,996,0.169,34.22
NONAME,2015-12-28 09:00:00,NR,-16.7,135.9,20,996,1.772,34.22
NONAME,2015-12-28 12:00:00,NR,-16.9,135.9,20,996,1.772,34.22
NONAME,2015-12-28 15:00:00,NR,-17,136,20,997,1.772,31.234
NONAME,2015-12-28 18:00:00,NR,-17,135.9,20,995,1.772,37.697
NONAME,2015-12-28 21:00:00,NR,-17.1,136,20,995,1.772,37.697
NONAME,2015-12-29 00:00:00,NR,-17.2,136,20,996,1.772,34.22
NONAME,2015-12-29 03:00:00,NR,-17.6,136.3,15,996,0.169,34.22
NONAME,2015-12-29 06:00:00,NR,-17.8,136.3,20,997,1.772,31.234
NONAME,2015-12-29 12:00:00,NR,-18.2,137,20,998,1.772,25.937
NONAME,2015-12-30 00:00:00,NR,-20.5,136.5,20,997,1.772,31.234
NONAME,2015-12-31 00:00:00,NR,-22,136.5,20,999,1.772,23.042
NONAME,2016-01-01 00:00:00,NR,-24.5,138.5,20,1002,1.772,10.454
ULA,2015-12-29 12:00:00,NR,-9.8,-170,0,-9999,-100,-100
ULA,2015-12-29 18:00:00,NR,-9.9,-169.8,0,-9999,-100,-100
ULA,2015-12-29 19:00:00,NR,-9.8,-169.6,30,-9999,17.816,-100
ULA,2015-12-30 00:00:00,NR,-9.8,-168.4,30,-9999,17.816,-100
ULA,2015-12-30 03:00:00,NR,-10.8,-166.9,30,-9999,17.816,-100
ULA,2015-12-30 06:00:00,NR,-11.4,-167.1,30,-9999,17.816,-100
ULA,2015-12-30 07:00:00,NR,-12,-167.2,40,993,39.771,38.045
ULA,2015-12-30 12:00:00,NR,-13,-166.7,45,992,48.107,39.078
ULA,2015-12-30 15:00:00,NR,-13.8,-166.6,45,992,48.107,39.078
ULA,2015-12-30 18:00:00,NR,-14.7,-167.1,45,992,48.107,39.078
ULA,2015-12-30 21:00:00,NR,-15,-167.4,45,991,48.107,40.615
ULA,2015-12-31 00:00:00,NR,-15.4,-167.8,50,990,54.447,41.089
ULA,2015-12-31 03:00:00,NR,-15.5,-168.5,50,990,54.447,41.089
ULA,2015-12-31 06:00:00,NR,-15.6,-169.2,50,989,54.447,47.905
ULA,2015-12-31 09:00:00,NR,-15.7,-169.3,50,987,54.447,49.106
ULA,2015-12-31 12:00:00,NR,-15.8,-169.5,55,985,63.399,55.223
ULA,2015-12-31 15:00:00,NR,-15.9,-169.6,65,975,73.643,68.575
ULA,2015-12-31 18:00:00,NR,-16.2,-169.7,65,975,73.643,68.575
ULA,2015-12-31 22:00:00,NR,-16.6,-170,65,975,73.643,68.575
ULA,2016-01-01 00:00:00,NR,-16.8,-170.3,65,975,73.643,68.575
ULA,2016-01-01 03:00:00,NR,-17.1,-170.6,70,971,78.309,74.804
ULA,2016-01-01 06:00:00,NR,-17.4,-171.2,80,968,83.886,78.855
ULA,2016-01-01 09:00:00,NR,-17.8,-172,80,965,83.886,79.665
ULA,2016-01-01 12:00:00,NR,-18,-172.8,80,968,83.886,78.855
ULA,2016-01-01 15:00:00,NR,-18.2,-173.7,80,968,83.886,78.855
ULA,2016-01-01 18:00:00,NR,-18.3,-174.3,80,968,83.886,78.855
ULA,2016-01-01 21:00:00,NR,-18.3,-174.5,80,962,83.886,83.017
ULA,2016-01-02 00:00:00,NR,-18.4,-175.1,80,968,83.886,78.855
ULA,2016-01-02 03:00:00,NR,-18.5,-175.8,80,961,83.886,83.101
ULA,2016-01-02 06:00:00,NR,-18.6,-176.2,80,968,83.886,78.855
ULA,2016-01-02 09:00:00,NR,-18.7,-176.5,80,959,83.886,86.285
ULA,2016-01-02 12:00:00,NR,-18.9,-177.1,80,968,83.886,78.855
ULA,2016-01-02 15:00:00,NR,-19.1,-177.4,80,964,83.886,82.737
ULA,2016-01-02 18:00:00,NR,-19.2,-177.7,80,968,83.886,78.855
ULA,2016-01-02 21:00:00,NR,-19.5,-178.1,80,968,83.886,78.855
ULA,2016-01-03 00:00:00,NR,-19.8,-178.5,80,968,83.886,78.855
ULA,2016-01-03 03:00:00,NR,-20.2,-178.9,80,968,83.886,78.855
ULA,2016-01-03 06:00:00,NR,-20.5,-179.2,80,968,83.886,78.855
ULA,2016-01-03 09:00:00,NR,-20.7,-179.4,80,960,83.886,83.212
ULA,2016-01-03 12:00:00,NR,-21,-179.8,80,968,83.886,78.855
ULA,2016-01-03 15:00:00,NR,-21.3,180,80,968,83.886,78.855
ULA,2016-01-03 18:00:00,NR,-21.6,179.8,80,968,83.886,78.855
ULA,2016-01-03 21:00:00,NR,-21.9,179.7,80,957,83.886,86.453
ULA,2016-01-04 00:00:00,NR,-22,179.5,75,970,81.303,74.944
ULA,2016-01-04 03:00:00,NR,-22.2,179.3,75,961,81.303,83.101
ULA,2016-01-04 06:00:00,NR,-22.4,179.1,70,975,78.309,68.575
ULA,2016-01-04 12:00:00,NR,-22.6,178.8,65,975,73.643,68.575
ULA,2016-01-04 18:00:00,NR,-22.1,178.5,65,975,73.643,68.575
ULA,2016-01-05 00:00:00,NR,-21.9,178.3,60,978,68.301,67.235
ULA,2016-01-05 03:00:00,NR,-21.7,178,55,978,63.399,67.235
ULA,2016-01-05 06:00:00,NR,-21.5,177.7,50,982,54.447,62.263
ULA,2016-01-05 12:00:00,NR,-21.3,177.5,45,985,48.107,55.223
ULA,2016-01-05 15:00:00,NR,-21.1,177.2,45,987,48.107,49.106
ULA,2016-01-05 18:00:00,NR,-20.9,177,40,985,39.771,55.223
ULA,2016-01-05 21:00:00,NR,-20.8,176.8,40,985,39.771,55.223
ULA,2016-01-06 00:00:00,NR,-20.6,176.6,40,985,39.771,55.223
ULA,2016-01-06 06:00:00,NR,-20.3,176.2,40,990,39.771,41.089
ULA,2016-01-06 09:00:00,NR,-20.1,176,40,994,39.771,37.067
ULA,2016-01-06 12:00:00,NR,-19.9,175.8,40,995,39.771,29.749
ULA,2016-01-06 15:00:00,NR,-19.7,175.6,40,996,39.771,27.849
ULA,2016-01-06 18:00:00,NR,-19.6,175.3,35,995,29.41,29.749
ULA,2016-01-07 06:00:00,NR,-19.4,175.1,30,1002,17.816,5.419
ULA,2016-01-07 09:00:00,NR,-19.2,174.9,40,992,39.771,39.078
ULA,2016-01-07 12:00:00,NR,-19,174.7,40,992,39.771,39.078
ULA,2016-01-07 18:00:00,NR,-18.7,174.5,50,985,54.447,55.223
ULA,2016-01-07 21:00:00,NR,-18.6,174.4,50,986,54.447,54.525
ULA,2016-01-08 00:00:00,NR,-18.5,174.2,50,985,54.447,55.223
ULA,2016-01-08 06:00:00,NR,-18.4,174,50,985,54.447,55.223
ULA,2016-01-08 12:00:00,NR,-18.4,173.8,65,975,73.643,68.575
ULA,2016-01-08 18:00:00,NR,-18.4,173.6,70,970,78.309,74.944
ULA,2016-01-09 00:00:00,NR,-18.5,173.3,70,970,78.309,74.944
ULA,2016-01-09 03:00:00,NR,-18.7,173.1,75,968,81.303,78.855
ULA,2016-01-09 06:00:00,NR,-18.7,172.9,80,965,83.886,79.665
ULA,2016-01-09 09:00:00,NR,-18.9,172.7,80,962,83.886,83.017
ULA,2016-01-09 12:00:00,NR,-19.1,172.4,80,965,83.886,79.665
ULA,2016-01-09 15:00:00,NR,-19.3,172,90,954,90.461,88.687
ULA,2016-01-09 18:00:00,NR,-19.4,171.9,95,950,93.719,88.827
ULA,2016-01-09 21:00:00,NR,-19.7,171.5,100,944,94.805,92.291
ULA,2016-01-10 00:00:00,NR,-19.9,171.2,100,945,94.805,90.726
ULA,2016-01-10 03:00:00,NR,-20.1,171,100,948,94.805,90.307
ULA,2016-01-10 05:00:00,NR,-20.2,170.7,100,945,94.805,90.726
ULA,2016-01-10 07:00:00,NR,-20.5,170.6,100,946,94.805,90.503
ULA,2016-01-10 09:00:00,NR,-20.8,170.4,100,946,94.805,90.503
ULA,2016-01-10 11:00:00,NR,-21.1,170.3,100,945,94.805,90.726
ULA,2016-01-10 15:00:00,NR,-21.6,170.2,100,946,94.805,90.503
ULA,2016-01-10 18:00:00,NR,-22,170.1,100,945,94.805,90.726
ULA,2016-01-10 21:00:00,NR,-22.5,170,85,965,88.758,79.665
ULA,2016-01-11 00:00:00,NR,-22.9,169.9,85,965,88.758,79.665
ULA,2016-01-11 03:00:00,NR,-23.6,169.9,85,968,88.758,78.855
ULA,2016-01-11 06:00:00,NR,-24.2,170.1,80,968,83.886,78.855
ULA,2016-01-11 12:00:00,NR,-25,170.4,75,970,87.957,80.398
ULA,2016-01-11 18:00:00,NR,-26,170.9,60,975,75.791,75.266
ULA,2016-01-12 00:00:00,NR,-27.1,171.7,50,985,60.04,60.017
ULA,2016-01-12 06:00:00,NR,-28.3,172.9,40,990,38.063,38.969
ULA,2016-01-12 12:00:00,NR,-28.9,174.1,35,995,28.786,29.718
ULA,2016-01-12 18:00:00,NR,-29.4,175,35,1000,28.786,5.38
ULA,2016-01-13 00:00:00,NR,-29.9,176.1,35,1002,28.786,3.018
ULA,2016-01-13 06:00:00,NR,-30.2,177.4,35,1003,28.786,2.412
ULA,2016-01-13 12:00:00,NR,-30.3,178,30,1005,8.235,1.064
ULA,2016-01-13 18:00:00,NR,-30.2,178.6,30,1006,8.235,0.73
ULA,2016-01-14 00:00:00,NR,-29.5,179.3,30,1006,8.235,0.73
ULA,2016-01-14 06:00:00,NR,-28.8,179.7,30,1006,8.235,0.73
ULA,2016-01-14 12:00:00,NR,-28.5,179.4,30,1007,8.235,0.519
ULA,2016-01-14 18:00:00,NR,-29.1,178.1,25,1007,1.997,0.519
ULA,2016-01-15 00:00:00,NR,-28.6,176.5,25,1007,1.997,0.519
ULA,2016-01-15 06:00:00,NR,-28.2,175.7,25,1007,1.997,0.519
ULA,2016-01-15 12:00:00,NR,-28.6,174.6,20,1009,0.719,0.223
ULA,2016-01-15 18:00:00,NR,-28.5,173.4,20,1009,0.719,0.223
ULA,2016-01-16 00:00:00,NR,-28.4,172.4,20,1009,0.719,0.223
ULA,2016-01-16 06:00:00,NR,-28.4,171.8,20,1009,0.719,0.223
PALI,2016-01-05 06:00:00,NR,2,-173.5,25,1006,5.031,26.919
PALI,2016-01-05 12:00:00,NR,2.1,-173.2,25,1006,5.031,26.919
PALI,2016-01-05 18:00:00,NR,2.3,-172.9,25,1005,5.031,32.311
PALI,2016-01-06 00:00:00,DS,2.7,-172.7,25,1004,5.031,38.284
PALI,2016-01-06 06:00:00,DS,2.9,-172.5,25,1003,5.031,42.121
PALI,2016-01-06 12:00:00,DS,2.9,-172,25,1004,5.031,38.284
PALI,2016-01-06 18:00:00,DS,3,-171.6,25,1004,5.031,38.284
PALI,2016-01-07 00:00:00,DS,3.2,-171.4,25,1005,5.031,32.311
PALI,2016-01-07 06:00:00,DS,3.4,-171.3,30,1004,17.645,38.284
PALI,2016-01-07 12:00:00,TS,3.7,-171.3,30,1004,17.645,38.284
PALI,2016-01-07 18:00:00,TS,4.4,-171.1,45,1000,50.436,51.359
PALI,2016-01-08 00:00:00,TS,5,-171.1,45,997,50.436,59.766
PALI,2016-01-08 06:00:00,TS,5.9,-171.4,45,997,50.436,59.766
PALI,2016-01-08 12:00:00,TS,6.8,-172,55,994,64.412,65.466
PALI,2016-01-08 18:00:00,TS,7.2,-172.4,55,994,64.412,65.466
PALI,2016-01-09 00:00:00,TS,7.6,-172.8,55,996,64.412,62.059
PALI,2016-01-09 06:00:00,TS,7.7,-173.2,50,997,58.682,59.766
PALI,2016-01-09 12:00:00,TS,7.7,-173.7,45,998,50.436,57.789
PALI,2016-01-09 18:00:00,TS,7.7,-174.1,40,999,42.727,56.052
PALI,2016-01-10 00:00:00,TS,7.7,-174.4,35,1000,32.623,51.359
PALI,2016-01-10 06:00:00,TS,7.7,-174.4,35,1000,32.623,51.359
PALI,2016-01-10 12:00:00,TS,7.6,-174.3,35,1000,32.623,51.359
PALI,2016-01-10 18:00:00,TS,7.8,-174,45,996,50.436,62.059
PALI,2016-01-11 00:00:00,TS,7.9,-173.6,50,993,58.682,67.996
PALI,2016-01-11 06:00:00,TS,8,-173.2,55,990,64.412,71.294
PALI,2016-01-11 12:00:00,TS,8.3,-172.8,55,990,64.412,71.294
PALI,2016-01-11 18:00:00,TS,8.3,-172.6,65,986,74.042,77.087
PALI,2016-01-12 00:00:00,TS,8.3,-172,75,982,82.043,80.705
PALI,2016-01-12 06:00:00,TS,7.8,-171.7,75,982,82.043,80.705
PALI,2016-01-12 12:00:00,TS,7.1,-171.4,80,979,85.15,83.38
PALI,2016-01-12 18:00:00,TS,6.5,-171.2,85,977,87.386,84.828
PALI,2016-01-13 00:00:00,TS,5.7,-171,85,977,87.386,84.828
PALI,2016-01-13 06:00:00,TS,5.1,-171.1,80,979,85.15,83.38
PALI,2016-01-13 12:00:00,TS,4.1,-171.4,70,984,78.944,78.971
PALI,2016-01-13 18:00:00,TS,3.6,-171.6,60,990,69.835,71.294
PALI,2016-01-14 00:00:00,TS,3.2,-171.9,50,996,58.682,62.059
PALI,2016-01-14 06:00:00,TS,2.8,-172.2,40,1000,42.727,51.359
PALI,2016-01-14 12:00:00,TS,2.5,-172.5,30,1003,17.645,42.121
PALI,2016-01-14 18:00:00,TS,2.1,-172.8,30,1003,17.645,42.121
PALI,2016-01-15 00:00:00,NR,1.7,-173.2,25,1005,5.031,32.311
PALI,2016-01-15 06:00:00,NR,1.2,-173.3,20,1005,0.874,32.311
PALI,2016-01-15 12:00:00,NR,1,-173.7,20,1005,0.874,32.311
ALEX,2016-01-07 00:00:00,ET,26.6,-75.3,40,1010,42.727,5.681
ALEX,2016-01-07 06:00:00,ET,27.6,-74.7,45,1003,50.436,42.121
ALEX,2016-01-07 12:00:00,ET,28.7,-73.8,50,997,58.682,59.766
ALEX,2016-01-07 18:00:00,ET,30,-72.5,55,987,64.412,75.141
ALEX,2016-01-08 00:00:00,ET,31.4,-70.6,55,986,64.412,77.087
ALEX,2016-01-08 06:00:00,ET,32.4,-68.8,55,986,64.412,77.087
ALEX,2016-01-08 12:00:00,ET,33,-67.1,45,991,50.436,70.415
ALEX,2016-01-08 18:00:00,ET,33.5,-65,45,991,50.436,70.415
ALEX,2016-01-09 00:00:00,ET,34,-62.9,45,991,50.436,70.415
ALEX,2016-01-09 06:00:00,ET,34.5,-60.5,50,991,58.682,70.415
ALEX,2016-01-09 12:00:00,ET,35,-58.3,55,989,64.412,73.154
ALEX,2016-01-09 18:00:00,ET,35.1,-56.1,60,985,69.835,77.843
ALEX,2016-01-10 00:00:00,ET,34.4,-54.2,65,981,74.042,81.437
ALEX,2016-01-10 06:00:00,ET,33.7,-52.7,65,981,74.042,81.437
