name,time,nature,lat,lng,wind,pres,wind_pct,pres_pct
ANNABELLE,2015-11-18 18:00:00,TS,-4.8,80.4,20,1007,1.324,3.564
ANNABELLE,2015-11-19 00:00:00,TS,-5.7,79.2,20,1007,1.324,3.564
ANNABELLE,2015-11-19 06:00:00,TS,-6.8,78.3,23,1006,11.272,5.366
ANNABELLE,2015-11-19 12:00:00,TS,-8,77.3,25,1004,15.982,11.136
ANNABELLE,2015-11-19 18:00:00,TS,-9.1,76.1,25,1004,15.982,11.136
ANNABELLE,2015-11-20 00:00:00,TS,-9.8,74.4,25,1003,15.982,14.525
ANNABELLE,2015-11-20 06:00:00,TS,-9.9,72.9,30,1000,34.099,24.256
ANNABELLE,2015-11-20 12:00:00,TS,-9.7,72.1,35,998,43.016,35.955
ANNABELLE,2015-11-20 18:00:00,TS,-9.8,71.8,35,998,43.016,35.955
ANNABELLE,2015-11-21 00:00:00,TS,-10,71.5,37,997,56.026,39.463
ANNABELLE,2015-11-21 06:00:00,TS,-10.3,71.4,40,995,58.121,47.424
ANNABELLE,2015-11-21 12:00:00,TS,-10.7,71.4,42,994,62.888,51.123
ANNABELLE,2015-11-21 18:00:00,TS,-11.1,71.5,42,994,62.888,51.123
ANNABELLE,2015-11-22 00:00:00,TS,-11.5,71.6,45,992,67.127,53.48
ANNABELLE,2015-11-22 06:00:00,TS,-12,71.8,45,992,67.127,53.48
ANNABELLE,2015-11-22 12:00:00,TS,-12.6,72,45,991,67.127,56.743
ANNABELLE,2015-11-22 18:00:00,TS,-13.7,72.8,47,989,71.204,64.037
ANNABELLE,2015-11-23 00:00:00,TS,-14.2,73.7,50,987,71.991,66.283
ANNABELLE,2015-11-23 06:00:00,TS,-15,75,55,983,78.464,74.236
ANNABELLE,2015-11-23 12:00:00,TS,-16.5,76.5,55,983,78.464,74.236
ANNABELLE,2015-11-23 18:00:00,TS,-17.9,77.7,50,987,71.991,66.283
ANNABELLE,2015-11-24 00:00:00,ET,-19.1,78.7,47,989,71.204,64.037
ANNABELLE,2015-11-24 06:00:00,ET,-20.6,80.2,45,991,67.127,56.743
ANNABELLE,2015-11-24 12:00:00,ET,-22.7,81.3,43,992,63.424,53.48
ANNABELLE,2015-11-24 18:00:00,ET,-23.8,81.2,40,994,58.121,51.123
ANNABELLE,2015-11-25 00:00:00,ET,-24.3,81.4,35,997,43.016,39.463
ANNABELLE,2015-11-25 06:00:00,TS,-24.8,81.4,30,1000,34.099,24.256
ANNABELLE,2015-11-25 12:00:00,TS,-25,81.5,30,1001,34.099,22.541
ANNABELLE,2015-11-25 18:00:00,TS,-24.9,81.5,28,1005,29.048,7.802
ANNABELLE,2015-11-26 00:00:00,TS,-24.9,81.3,28,1006,29.048,5.366
ANNABELLE,2015-11-26 06:00:00,TS,-25,80.6,27,1007,27.01,3.564
ANNABELLE,2015-11-26 12:00:00,TS,-24.6,80,27,1008,27.01,2.095
ANNABELLE,2015-11-26 18:00:00,TS,-24,79.3,25,1009,15.982,1.381
ANNABELLE,2015-11-27 00:00:00,TS,-23.7,78.6,25,1010,15.982,0.603
ANNABELLE,2015-11-27 06:00:00,TS,-23.5,77.8,25,1011,15.982,0.421
TUNI,2015-11-26 12:00:00,NR,-10.2,178,20,-9999,3.728,-100
TUNI,2015-11-26 15:00:00,NR,-10.3,178,20,-9999,3.728,-100
TUNI,2015-11-26 18:00:00,NR,-10.7,-179.9,25,1001,8.805,8.883
TUNI,2015-11-26 21:00:00,NR,-10.9,-178.7,25,-9999,8.805,-100
TUNI,2015-11-27 00:00:00,NR,-11.2,-178.2,25,1001,8.805,8.883
TUNI,2015-11-27 01:30:00,NR,-12.1,-176.3,25,-9999,8.805,-100
TUNI,2015-11-27 06:00:00,NR,-11.5,-177.5,25,999,8.805,14.637
TUNI,2015-11-27 12:00:00,NR,-12.5,-176,25,999,8.805,14.637
TUNI,2015-11-27 15:00:00,NR,-12.8,-175.7,30,-9999,17.816,-100
TUNI,2015-11-27 18:00:00,NR,-13.4,-175.3,30,997,17.816,21.927
TUNI,2015-11-27 21:00:00,NR,-13.9,-174.9,30,997,17.816,21.927
TUNI,2015-11-28 00:00:00,NR,-14.2,-174.5,30,996,17.816,27.849
TUNI,2015-11-28 03:00:00,NR,-14.3,-174.2,30,-9999,17.816,-100
TUNI,2015-11-28 06:00:00,NR,-14.6,-173.7,35,995,29.41,29.749
TUNI,2015-11-28 12:00:00,NR,-14.6,-173.7,40,993,39.771,38.045
TUNI,2015-11-28 15:00:00,NR,-14.9,-173.3,40,-9999,39.771,-100
TUNI,2015-11-28 18:00:00,NR,-15.5,-172.6,40,993,39.771,38.045
TUNI,2015-11-28 21:00:00,NR,-16.1,-171.6,40,-9999,39.771,-100
TUNI,2015-11-29 00:00:00,NR,-16.6,-171,40,-9999,39.771,-100
TUNI,2015-11-29 06:00:00,NR,-17,-170.4,40,-9999,39.771,-100
TUNI,2015-11-29 09:00:00,NR,-17.3,-169.8,40,992,39.771,39.078
TUNI,2015-11-29 18:00:00,NR,-17.6,-169.4,40,993,39.771,38.045
TUNI,2015-11-29 21:00:00,NR,-17.9,-168.8,35,995,29.41,29.749
TUNI,2015-11-30 00:00:00,NR,-18.1,-168.4,35,995,29.41,29.749
TUNI,2015-11-30 03:00:00,NR,-18.3,-168,30,-9999,17.816,-100
